name,popularity,track_number,type,duration_ms,artists_list,release_date,artist_name,artist_popularity,artist_followers,artist_genres,artist_main_artist
They Wanna Fuck,68,6,track,150000,Kim Petras,2022-02-11,Kim Petras,73,998311,"['alt z', 'pop', 'transpop']",True
PUFFIN ON ZOOTIEZ,82,5,track,172933,Future,2022-04-29,Future,87,15158016,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",True
Solo,84,16,track,265996,Future,2017-07-27,Future,87,15158016,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",True
Mask Off,84,7,track,204600,Future,2017-06-30,Future,87,15158016,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",True
LOVE YOU BETTER,75,8,track,129479,Future,2022-04-29,Future,87,15158016,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",True
Lay Low,83,1,track,153442,Tiësto,2023-01-06,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",True
Yesterday,65,13,track,140160,Tiësto,2023-04-21,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",True
Chills (LA Hills),66,5,track,183652,"Tiësto,A Boogie Wit da Hoodie",2023-04-21,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",True
Cheap Thrills (feat. Sean Paul),75,13,track,224813,"Sia,Sean Paul",2016-02-18,Sia,81,27113581,"['australian dance', 'australian pop', 'pop']",True
Helium,71,9,track,252320,Sia,2017-02-10,Sia,81,27113581,"['australian dance', 'australian pop', 'pop']",True
Wonder,75,2,track,172692,Shawn Mendes,2020-12-04,Shawn Mendes,80,42606389,"['canadian pop', 'pop', 'viral pop']",True
Monster (Shawn Mendes & Justin Bieber),72,1,track,178994,"Shawn Mendes,Justin Bieber",2020-11-20,Shawn Mendes,80,42606389,"['canadian pop', 'pop', 'viral pop']",True
Never Be Alone,68,3,track,215813,Shawn Mendes,2015-04-14,Shawn Mendes,80,42606389,"['canadian pop', 'pop', 'viral pop']",True
Reminds Me Of You,71,1,track,158032,"Juice WRLD,The Kid LAROI",2020-12-08,Juice WRLD,84,31181079,"['chicago rap', 'melodic rap', 'rap']",True
